Subject,13.Mean_2,13.NZMean_2,13.NZcount_2,13.NZMin_2,13.NZMax_2,16.Mean_2,16.NZMean_2,16.NZcount_2,16.NZMin_2,16.NZMax_2
s3836,-0.127364,-0.127364,90,-0.573228,0.295081,-0.100619,-0.100619,90,-0.560601,0.171641
s3845,-0.044685,-0.044685,90,-0.205544,0.191553,0.187992,0.187992,90,-0.160885,0.358990
s3846,-0.083731,-0.083731,90,-0.289978,0.363093,-0.111288,-0.111288,90,-0.284363,0.209754
s3847,0.027518,0.027518,90,-0.534916,0.516106,0.229794,0.229794,90,-0.254665,0.558195
s3848,-0.345656,-0.345656,90,-0.972956,0.131336,-0.219678,-0.219678,90,-0.704060,0.085851
s3849,-0.192084,-0.192084,90,-0.582838,0.084262,-0.016110,-0.016110,90,-0.877117,0.223905
s3851,0.046022,0.046022,90,-0.212823,0.311043,0.102522,0.102522,90,-0.221326,0.384801
s3852,-0.045204,-0.045204,90,-0.380309,0.373776,0.018467,0.018467,90,-0.225410,0.177675
s3855,-0.085934,-0.085934,90,-0.550822,0.256812,-0.182380,-0.182380,90,-1.160530,0.155751
s3864,-0.006019,-0.006019,90,-0.251739,0.159195,0.123721,0.123721,90,-0.159320,0.622309
s3865,-0.331888,-0.331888,90,-0.911536,-0.095569,-0.125955,-0.125955,90,-0.905882,0.189868
s3871,-0.157318,-0.157318,90,-0.382388,0.107454,0.208660,0.208660,90,-0.019895,0.589176
s3877,-0.053636,-0.053636,90,-0.369298,0.373096,0.110414,0.110414,90,-0.226107,0.354124
s3880,0.189185,0.189185,90,-0.089471,0.452734,0.114989,0.114989,90,-0.193806,0.526312
s3882,-0.030329,-0.030329,90,-0.201365,0.254086,0.116038,0.116038,90,-0.152258,0.364992
s3883,-0.001154,-0.001154,90,-0.291626,0.329405,-0.029969,-0.029969,90,-0.353140,0.286223
s3886,0.084306,0.084306,90,-0.159077,0.259408,-0.057305,-0.057305,90,-0.295944,0.227685
s3887,-0.035095,-0.035095,90,-0.343885,0.186673,0.076295,0.076295,90,-0.167766,0.384463
s3889,0.027301,0.027301,90,-0.152592,0.369577,0.056371,0.056371,90,-0.259470,0.355899
s3890,0.094934,0.094934,90,-0.242486,0.430786,0.134066,0.134066,90,-0.254858,0.563960
s3891,-0.200034,-0.200034,90,-0.781146,0.057748,-0.074226,-0.074226,90,-0.363524,0.159478
s3892,-0.077162,-0.077162,90,-0.311842,0.098795,0.010193,0.010193,90,-0.516920,0.222748
s3893,-0.050312,-0.050312,90,-0.404248,0.187649,0.089726,0.089726,90,-0.283909,0.469866
s3895,-0.163575,-0.163575,90,-0.395668,0.128991,-0.120998,-0.120998,90,-0.374279,0.117499
s3896,0.033617,0.033617,90,-0.141547,0.485904,0.174330,0.174330,90,-0.263382,0.857376
s3910,-0.202081,-0.202081,90,-0.690554,0.113228,-0.056236,-0.056236,90,-0.473284,0.133501
s3912,-0.230023,-0.230023,90,-0.418575,-0.008867,-0.102991,-0.102991,90,-0.403503,0.246045
s3914,0.031149,0.031149,90,-0.316801,0.387747,0.186434,0.186434,90,-0.072344,0.466662
s3920,-0.178921,-0.178921,90,-0.549142,0.082699,0.002212,0.002212,90,-0.468695,0.598321
s3967,-0.114810,-0.114810,90,-0.609807,0.131660,0.023671,0.023671,90,-0.307991,0.284451
s3992,0.034256,0.034256,90,-0.300194,0.495196,0.124375,0.124375,90,-0.198593,0.297770
s4017,-0.158794,-0.158794,90,-0.694299,0.031166,0.212499,0.212499,90,-0.169240,0.881587
s4018,0.003026,0.003026,90,-0.332909,0.235635,0.034047,0.034047,90,-0.320192,0.609938
s4019,-0.119703,-0.119703,90,-0.494353,0.154452,-0.204139,-0.204139,90,-0.401295,-0.040623
s4020,0.013580,0.013580,90,-0.325162,0.206346,0.114554,0.114554,90,-0.081295,0.327646
